PPARd,,,CAR,,,CYP2C9,,,CYP3A4,,,PPARg,,,PXR,,,FABP4,,,OATP,
SMILES,Assay Response,,SMILES,Assay Response,,SMILES,Assay Response,,SMILES,Assay Response,,SMILES,Assay Response,,SMILES,Assay Response,,SMILES,Assay Response,,SMILES,Assay Response
C1=CC(=S)N(C=C1)[O-].[Na+],1,,C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,1,,C1=CC2=C(C=C1Cl)SNC2=O,1,,CC1=CC2=C(C=C1)N(C3=C2CN(CC3)C)CCC4=CN=C(C=C4)C,1,,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,1,,CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4,1,,CCCCCCCCCCCCCCCC(=O)O,1,,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,1
CC[C@H](C1=CC=C(C=C1)O)[C@@H](CC)C2=CC=C(C=C2)O,1,,C1=CC(=CN=C1)CN,0,,CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)[N-]S(=O)(=O)C2=CC(=CO2)C(C)(C)O.[Na+],1,,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,0,,CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,0,,CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],0,,COC1=CC2=C(C=C1)C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O,1,,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,0
C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,1,,C1=CC(=CC=C1C=O)C(=O)O,0,,CC1=CC(=O)NC(=O)N1,0,,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,1,,C(=O)C(Br)(Br)Br,1,,CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,1,,CC1=CN(C2=CC=CC=C12)S(=O)(=O)C3=CC=CC=C3C(=O)O,1,,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,1,,COC1=CC=C(C=C1)OC,0,,[O-]S(=O)(=O)SSS(=O)(=O)[O-].[K+].[K+],1,,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,1,,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,1,,C(CNC(=S)[S-])NC(=S)[S-].[Na+].[Na+],0,,COC1=CC=CC2=C1N(C=C2)S(=O)(=O)C3=C(SC=C3)C(=O)O,1,,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0
C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2],1,,CCNC1=CC=CC=C1,0,,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,1,,CCCCC1=CN=C(C=C1)C(=O)O,0,,C1CSSC1CCCCC(=O)O,0,,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,1,,C1=CC2=C(C(=C1)F)N(C=C2)S(=O)(=O)C3=C(SC=C3)C(=O)O,1,,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0
C(=NN)(N)N.C(=NN)(N)N.OS(=O)(=O)O,0,,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,0,,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,1,,CC1=NN=C(C2=CC3=C(C=C2C1)OCO3)C4=CC=C(C=C4)N,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43,1,,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,1,,C1=CC2=C(C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O)C=C1Br,1,,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,0
CC1=CC(=CC(=C1)[N+](=O)[O-])C,0,,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,1,,C1=CC=C(C=C1)/C=C/C(=O)NCCO,1,,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,1,,[C@H]12[C@H]([C@H]3[C@@H]([C@@H]1Cl)O3)C4(C(=C([C@]2(C4(Cl)Cl)Cl)Cl)Cl)Cl,1,,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],1,,CC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3C(=O)O,0,,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0
CC1=NC2=CC=CC=C2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C6=CC(=C(C=C6Cl)F)S(=O)(=O)NC)C7=CC(=CC=C7)F,1,,CC(C)(C)C1=CC(=C(C=C1)OP(=O)(NC)OC)Cl,1,,C(C(CCl)O)Cl,0,,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,1,,C1=CC(=CC=C1C(=O)Cl)[N+](=O)[O-],0,,C1=CC=C(C=C1)O,0,,C1=CC2=C(C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O)C=C1F,1,,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,1
