Chem ID,SMILES,CAS,CID,InChIKey,logBCF
1,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,64381-98-2,6695,CVAVMIODJQHEEH-UHFFFAOYSA-O,-0.7
2,O=C(O)c1ccc(Cl)c(Cl)c1,51-44-5,5817,VPHHJAOJUJHJKD-UHFFFAOYSA-N,0.35
3,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,59261-08-4,93322,LNFYSRMCCKKDEH-UHFFFAOYSA-N,4.27
4,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,66332-96-5,47898,PTCGDEVVHUXTMP-UHFFFAOYSA-N,1.5
5,C1=CCCC=CCCC=CCC1,4904-61-4,12668,ZOLLIQAKMYWTBR-UHFFFAOYSA-N,3.82
6,CCOP(=S)(OCC)SCCSCC,298-04-4,3118,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,2.45
7,COC(C)(C)C,1634-04-4,15413,BZLVMXJERCGZMT-UHFFFAOYSA-N,0.18
8,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,314-40-9,9411,CTSLUCNDVMMDHG-UHFFFAOYSA-N,0.87
9,CC(C)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,NA,10117,KGMSWPSAVZAMKR-UHFFFAOYSA-N,2.14
10,COC(=O)C1(Cl)C(Cl)CCC2(C)c3ccc(C(C)C)cc3CCC21,NA,78299005,FZRDVVUUKRKZMM-UHFFFAOYSA-N,2.07
11,C=CC1(C)C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,19889-23-7,10116,MHVJRKBZMUDEEV-UHFFFAOYSA-N,1.9
12,C=CC1(C)CCC2C(=CCC3C(C)(C(=O)O)CCCC23C)C1,NA,267302,MXYATHGRPJZBNA-UHFFFAOYSA-N,1.61
13,CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C(=O)O)C1CC2,66104-41-4,16040,MLBYBBUZURKHAW-UHFFFAOYSA-N,1.4
14,O=P(OCC(CCl)(CBr)CBr)(OC(CCl)CCl)OC(CCl)CCl,66108-37-0,47815,XPNOZWKYSGBXLU-UHFFFAOYSA-N,3.14
15,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,52315-07-8,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,1.71
16,c1csc(-c2cccs2)c1,492-97-7,68120,OHZAHWOAMVVGEL-UHFFFAOYSA-N,3.55
17,c1ccncc1,110-86-1,1049,JUJWROOIHBZHMG-UHFFFAOYSA-N,1.94
18,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,2597/3/7,17435,XAMUDJHXFNRLCY-UHFFFAOYSA-N,1.74
19,COP(=S)(OC)Oc1ccc(C#N)cc1,2636-26-2,17522,SCKHCCSZFPSHGR-UHFFFAOYSA-N,1.31
20,COc1c(Br)cc(Br)cc1Br,607-99-8,11839,YXTRCOAFNXQTKL-UHFFFAOYSA-N,2.6
21,CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,60628-17-3,108980,OGVJEUDMQQIAPV-UHFFFAOYSA-N,1.92
22,CCCC(Cl)CCC(Cl)CC(Cl)C(Cl)CCC(Cl)CCC(Cl)C(Cl)CC(C)Cl,61788-76-9,22833341,GHPXWFDSOBCWEE-UHFFFAOYSA-N,2
23,CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],36335-67-8,37419,OEYOMNZEMCPTKN-UHFFFAOYSA-N,2.24
24,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,1093632-34-8,33121,LEOCKULGXOQRTQ-UHFFFAOYSA-N,2.67
25,O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)O)c1,96-73-1,7310,GNTARUIZNIWBCN-UHFFFAOYSA-N,0.6
26,CCOP(=S)(S)OCC,298-06-6,9274,IRDLUHRVLVEUHA-UHFFFAOYSA-N,0.56
27,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,1024-57-3,13930,ZXFXBSWRVIQKOD-UHFFFAOYSA-N,4.04
28,c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,226-36-8,9183,JNCSIWAONQTVCF-UHFFFAOYSA-N,2.17
29,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,21609-90-5,30709,CVRALZAYCYJELZ-UHFFFAOYSA-N,3.46
30,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,78-30-8,6527,YSMRWXYRXBRSND-UHFFFAOYSA-N,2.56
31,OCCOCCOCCO,112-27-6,8172,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,3.23
32,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,2104-96-3,16422,NYQDCVLCJXRDSK-UHFFFAOYSA-N,3.22
33,FC(F)(F)c1ccc(Cl)c(Cl)c1,328-84-7,9481,XILPLWOGHPSJBK-UHFFFAOYSA-N,3.13
34,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,789-02-6,13089,CVUGPAFCQJIYDT-UHFFFAOYSA-N,2.95
35,O=[N+]([O-])c1cc(Cl)cc(Cl)c1,618-62-2,12064,RNABGKOKSBUFHW-UHFFFAOYSA-N,2.23
36,COP(=S)(OC)Oc1c(Cl)cccc1C#N,114012-04-3,138395744,HEECRIMHIIDORS-UHFFFAOYSA-N,1.01
37,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4901-51-3,21013,RULKYXXCCZZKDZ-UHFFFAOYSA-N,0.54
38,O=[N+]([O-])c1cccc(Cl)c1,121-73-3,8489,KMAQZIILEGKYQZ-UHFFFAOYSA-N,1.89
39,C=CC=O,107-02-8,7847,HGINCPLSRVDWNT-UHFFFAOYSA-N,2.54
40,CCOC(=O)c1ccccc1C(=O)OCC,84-66-2,6781,FLKPEMZONWLCSK-UHFFFAOYSA-N,2.07
41,COC(=O)c1ccccc1C(=O)OC,131-11-3,8554,NIQCNGHVCWTJSM-UHFFFAOYSA-N,1.76
42,ClCCCl,107-06-2,11,WSLDOOZREJYCGB-UHFFFAOYSA-N,0.3
43,O=S(=O)(O)c1ccccc1C=Cc1ccc(-c2ccc(C=Cc3ccccc3S(=O)(=O)O)cc2)cc1,38775-22-3,33787,SQAKQVFOMMLRPR-UHFFFAOYSA-N,0.41
44,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,608-73-1,727,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,2.88
45,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,87-82-1,6905,CAYGQBVSOZLICD-UHFFFAOYSA-N,3.25
46,Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,2234-13-1,16692,RTNLUFLDZOAXIC-UHFFFAOYSA-N,2.65
47,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,376-06-7,67822,RUDINRUXCKIXAJ-UHFFFAOYSA-N,4.15
48,Nc1ccccc1N,95-54-5,7243,GEYOCULIXLDCMW-UHFFFAOYSA-N,0.68
