SMILES,logBCF
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,-0.7
O=C(O)c1ccc(Cl)c(Cl)c1,0.35
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,4.27
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,1.5
C1=CCCC=CCCC=CCC1,3.82
CCOP(=S)(OCC)SCCSCC,2.45
COC(C)(C)C,0.18
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,0.87
CC(C)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,2.14
COC(=O)C1(Cl)C(Cl)CCC2(C)c3ccc(C(C)C)cc3CCC21,2.07
C=CC1(C)C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,1.9
C=CC1(C)CCC2C(=CCC3C(C)(C(=O)O)CCCC23C)C1,1.61
CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C(=O)O)C1CC2,1.4
O=P(OCC(CCl)(CBr)CBr)(OC(CCl)CCl)OC(CCl)CCl,3.14
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,1.71
c1csc(-c2cccs2)c1,3.55
c1ccncc1,1.94
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,1.74
COP(=S)(OC)Oc1ccc(C#N)cc1,1.31
COc1c(Br)cc(Br)cc1Br,2.6
CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,1.92
CCCC(Cl)CCC(Cl)CC(Cl)C(Cl)CCC(Cl)CCC(Cl)C(Cl)CC(C)Cl,2
CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],2.24
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,2.67
O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)O)c1,0.6
CCOP(=S)(S)OCC,0.56
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,4.04
c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,2.17
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,3.46
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,2.56
OCCOCCOCCO,3.23
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,3.22
FC(F)(F)c1ccc(Cl)c(Cl)c1,3.13
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,2.95
O=[N+]([O-])c1cc(Cl)cc(Cl)c1,2.23
COP(=S)(OC)Oc1c(Cl)cccc1C#N,1.01
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,0.54
O=[N+]([O-])c1cccc(Cl)c1,1.89
C=CC=O,2.54
CCOC(=O)c1ccccc1C(=O)OCC,2.07
COC(=O)c1ccccc1C(=O)OC,1.76
ClCCCl,0.3
O=S(=O)(O)c1ccccc1C=Cc1ccc(-c2ccc(C=Cc3ccccc3S(=O)(=O)O)cc2)cc1,0.41
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.88
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,3.25
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,2.65
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.15
Nc1ccccc1N,0.68
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,2.39
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1.34
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,0.77
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-0.4
Clc1ccc2ccccc2c1,3.63
CCCCCCCCCCCCCCCC[n+]1ccccc1,2.18
C=C(CC(C)(C)c1ccc(O)cc1)c1ccc(O)cc1,1.59
Clc1ccccc1-c1ccccc1,5.19
CC(Br)(CBr)COc1c(Br)cc(Br)cc1Br,4.31
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.19
Clc1ccccc1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.92
CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,3.59
Brc1cc(Br)c(Br)c(Oc2ccc(Br)c(Br)c2Br)c1,3.12
ClC1C(Br)C(Br)C(Br)C(Br)C1Br,2.49
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,2.5
CCCCCCCCCc1ccccc1O,1.97
CC=C1CC2C=CC1C2,2.26
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.12
O=[N+]([O-])c1ccc(Cl)cc1C(F)(F)F,2.08
Cc1ccc(S(=O)(=O)Oc2ccc(N=Nc3ccc(-c4ccc(NN=C5C(=O)C=Cc6cc(S(=O)(=O)O)cc(S(=O)(=O)O)c65)c(C)c4)cc3C)cc2)cc1,1.88
CN(C)c1ccc([C+](c2ccccc2)c2ccc(N(C)C)cc2)cc1,1.88
Cc1ccc(N)cc1N,1.39
N#CCCN(CCC#N)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1,1.55
Nc1cccc(O)c1,1.22
O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,1.55
CCOc1ccc(NC(C)=O)cc1,1.15
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c(N=Nc5ccccc5)c(O)c4c3N)c(C)c2)ccc1N=Nc1ccc(N)cc1N,1.34
Oc1c(Cl)cccc1Cl,1.24
Clc1ccccn1,1.03
BrC(Br)c1ccccc1OCC1CO1,0.94
Cc1ccccc1N=Nc1ccc(NN=C2C(=O)C=Cc3ccccc32)c(C)c1,0.9
CCCCCCCCc1ccccc1Nc1ccccc1CCCCCCCC,1.13
Cc1ccc(O)c([N+](=O)[O-])c1,1.12
O=C1c2c(O)ccc(Nc3ccccc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1.64
S=c1[nH]c2ccccc2s1,0.65
Nc1c(S(=O)(=O)O)cc(S(=O)(=O)O)c2cccc(O)c12,1.06
O=C(O)c1cccc([N+](=O)[O-])c1,0.69
Nc1ccc2ccccc2c1S(=O)(=O)O,0.62
CCCCCCCCCCSSCCCCCCCCCC,1.15
Cc1ccsc1,0.67
NCc1cccc(CN)c1,0.1
CCN(CC)C(=O)c1cccc(C)c1,0.34
CC1CCC(C(=O)O)C(C(=O)O)C1,0.38
O=C(O)C1CCCCC1C(=O)O,0.44
O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0.58
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,0.46
O=S(=O)(O)c1ccc(O)c2ccccc12,0.76
Nc1c(N=Nc2ccc(S(=O)(=O)CCOS(=O)(=O)O)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)O)cc3)c(O)c12,0.34
O=C(O)c1ccccc1Cl,0.59
Nc1ccc(S(=O)(=O)O)c2ccccc12,0.84
CC1CCCC(C)N1,0.26
CN(C)P(=O)(N(C)C)N(C)C,-0.3
OCCN(CCO)CCO,0.16
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,0.29
Cc1ccc(N)c(S(=O)(=O)O)c1,0.19
Nc1nc(N)nc(N)n1,0.22
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-0.12
N#CNC(=N)N,0.02
NC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O,0.38
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.45
O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)O)cc1,-0.29
O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,-0.08
Nc1cccnc1,-0.16
C[N+](C)(C)Cc1ccccc1,-0.41
NC(N)=S,-0.16
O=C(O)C(O)(c1ccccc1)c1ccccc1,-0.14
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,0.21
O=C(O)C1CC=CCC1C(=O)O,-0.01
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,-0.21
O=c1[nH]c(=O)[nH]c(=O)[nH]1,-0.83
Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,-0.34
O=S(=O)(O)c1cc(S(=O)(=O)O)c2cc(O)ccc2c1,-0.17
CC(O)CN(CC(C)O)CC(C)O,-0.7
Clc1ccc(Oc2ccccc2)c(Cl)c1,3.97
ClC1=C(Cl)C2(Cl)C(Cl)CC1(Cl)C2(Cl)Cl,4.05
ClC1=C(Cl)C2(Cl)CC1(Cl)C(Cl)=C2Cl,3.81
CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,1.13
CCCN(CCC)C(=O)SCC,1.78
CCCCCCCCSCc1cc(C)c(O)c(CSCCCCCCCC)c1,1.7
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,3.41
CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.41
CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,3.21
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,3.13
C=C(C)C1CC2C=CC1C2,2.98
C=CC1CCC(C2CCC(CCC)CC2)CC1,2.89
