MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Chi0n,Chi0v,Chi1n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA2,PEOE_VSA6,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA4,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_NH1,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_benzene,fr_ester,fr_furan,fr_ketone,fr_nitro_arom,fr_phenol,fr_phenol_noOrthoHbond,PPARd,CAR,CYP2C9,CYP3A4,PPARg,PXR,FBP4,OATP
0.77914623,0.77914623,0.762646555,0.23871563,0.095871592,0.242010612,0.23184184,0.242062884,0.27173913,0.59993952,0.478340085,0.521659915,0.761211861,0.32231405,0.410658307,0.495867769,0.024004668,0.20196307,0.459369011,0.400848211,0.636346032,0.438537178,0.204813358,0.295043187,0.63292624,0.153336152,0.328472891,0.300206019,0.343474685,0.226148902,0.404081698,0.282721273,0.419702484,0.268604041,0.260495793,0.286258494,0.2369906,0,0,0,0,0.070309005,0.399186815,0.087538066,0.204295106,0,0,0.089277749,0.363903258,0.243676554,0.315441713,0,0,0.230329685,0,0.122667878,0.274521468,0,0.492495149,0.050212442,0.056137943,0.824431357,0.1,0.359565053,0.031729835,0.022068545,0.416776354,0.285714286,0.076923077,0,0,0.272727273,0.363636364,0,0.363636364,0.445776005,0.344510813,0,0.25,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0.911425221,0.799788713,0.774614692,0.384671229,0.081382533,0.856360984,0.215,0.241985475
0.653128431,0.653128431,0.756762986,0.782167846,0.076245882,0.085492613,0.088426079,0.084945369,0.06884058,0.560749635,0.478321475,0.521678525,0.702822009,0.603305785,0.686520376,0.738292011,0.192918677,0.311798475,0.354597074,0.568602475,0.544661043,0.582467087,0.23424298,0.295019101,0.365203882,0.300594113,0.066102844,0.081925467,0.066639333,0.070934163,0.073965826,0.084536419,0.057202511,0.053953833,0.075957956,0.082785911,0.081186826,0,0,0,0,0.089636354,0.114244603,0.060532686,0.151709292,0,0,0,0.185766423,0,0,0,0.145649476,0.068476789,0,0.033390129,0.076766763,0.2,0,0.095543778,0.050680824,0,0,0,0.203348518,0.155905864,0.332483733,0,0.076923077,0,0,0.090909091,0.090909091,0,0.090909091,0.270664935,0.095733078,0,0.25,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0.016660394,0.090115739,0.015555082,0.003246771,0.030909276,0.002214902,0.23,0.240949245
0.155354387,0.155354387,0.920887247,0.308897631,0.091030583,0.35605592,0.366283059,0.352675754,0.134057971,0.126863101,0.996111628,0.003888372,0.056365137,0.151515152,0.172413793,0.202020202,0.585139999,0.254788294,0.413577261,0.453338971,0.659520343,0.621688546,0.503116465,0.709665014,0.441645544,0.248700316,0.124954214,0.272010869,0.125817118,0.246832948,0.143534841,0.252028346,0.142021071,0.399884343,0.171158233,0.221173772,0,0,0,0,0,0.369255106,0.152326138,0,0.497076927,0,0,0,0.280792907,0.243676554,0,0,0.6,0,0,0,0.215555625,0,0.165730556,0,0,0.481096208,0,0.465093046,0,0.279407353,0.192909565,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0.487304437,0.240043597,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0.971885419,0.862705851,0.646034848,0.780387866,0.954939663,0.953968751,0.255,0.694037183
0.844166197,0.844166197,0.467829132,0.935120408,0.098977574,0.167484931,0.164930226,0.167547191,0.184782609,0.675652271,0.462185694,0.537814306,0.874017914,0.501976285,0.634182909,0.764163373,0.050908064,0.255462605,0.508155331,0.448405262,0.595477612,0.454721326,0.197787539,0.233773816,0.519594417,0.173837918,0.199012927,0.179882728,0.198124648,0.142697923,0.186461747,0.130460505,0.186026077,0.11905423,0.186202952,0.180735648,0.159839358,0.072022305,0,0,0.131638496,0.070309005,0.239253465,0.138798418,0.060299346,0,0,0.084225675,0.327806516,0.125912955,0.323612193,0.166666667,0,0.074259402,0,0.095963409,0.204711367,0,0,0.055090812,0.115403889,0.153754407,0.2,0.025871627,0.034026431,0.022068545,0.356733501,0.235294118,0.076923077,0,0,0.181818182,0.181818182,0,0.181818182,0.355604001,0.196545051,0,0.25,0.25,0.25,0,0.2,0,0.181818182,0,0,0,0,0,0,0.696929187,0.884656155,0.951978695,0.81481632,0.871544147,0.949856269,0.22,0.236107889
0.058325325,0.058325325,0.936055339,0.492867263,0.210485736,0.067683124,0.061154948,0.067688599,0.083333333,0.0432652,0.950668062,0.049331938,0.064640117,0.090909091,0.103448276,0.121212121,0.002093944,0.287800041,0.243160761,0.5934296,0.446661018,0.704923796,0.086568237,0.558841398,0.397404657,0.183444863,0.109112861,0.096327384,0.133798453,0.082618116,0.126811062,0.08872509,0.116781307,0.074738492,0.088178177,0.086685909,0,0,0,0,0,0.140841767,0.241839708,0,0,0,0,0.124189398,0.200318248,0,0,0,0,0,0,0.124189398,0.153777834,0,0,0,0,0,0,0.1773964,0,0.022068545,0.192909565,0.5,0,0.166666667,0.142857143,0,0,0,0.090909091,0.325170226,0.126626529,0,0,0,0,0.857142857,0,0,0,0,0,0,0,0,0,0.027949901,0.186068835,0.006521288,0.169440936,0.002009343,0.124324197,0.28,0.794127606
0.295327839,0.295327839,0.674977752,0.489631318,0.105936777,0.13717899,0.1318827,0.13709762,0.119565217,0.436057486,0.667142962,0.332857038,0.517040496,0.493506494,0.57635468,0.632034632,0.170166131,0.584685023,0.42229372,0.412864466,0.738000904,0.585024345,0.458908352,0.357344523,0.422977308,0.387027802,0.133085604,0.175169668,0.128985358,0.287914252,0.079613423,0.353874176,0.070949902,0.386525991,0.165526477,0.128924132,0.14384283,0,0,0.159527372,0,0.070719911,0.197158159,0.055314166,0.211375471,0,0,0.066958312,0,0,0,0,0.181024789,0.188396394,0,0.066958312,0,0,0,0,0.133333333,0.218712431,0.093810057,0.033691079,0.149803598,0.129977963,0.192909565,1,0,0,0,0,0,0,0,0.315283489,0.173814112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916288185,0.948503864,0.999553871,0.789087677,0.002499219,0.160073899,0.37,0.780282681
0.253322726,0.253322726,0.841778615,0.452909636,0.106861989,0.021744223,0.017826889,0.02175073,0.032608696,0.17167119,0.597840022,0.402159978,0.123125673,0.545454545,0.448275862,0.363636364,0.025063803,0.301463087,0.352586674,0.448865404,0.443382337,0.472620939,0.048172958,0.286165226,0.18856721,0.302935912,0.058182703,0.048991637,0.045412796,0.058248099,0.0388278,0.0271664,0,0,0.044719908,0.025561716,0.075309665,0,0,0,0,0,0.13039099,0.028960021,0,0,0,0.085013922,0,0,0,0,0,0.07858534,0,0.066958312,0,0,0,0.050551792,0,0,0.058600126,0,0.034026431,0.022068545,0.192909565,1,0,0,0,0,0,0,0,0.218529979,0.051747395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142768,6.20E-05,0.002462853,0.083422507,2.28E-05,0.000995892,0.395,0.776796072
0.752180849,0.752180849,0.810736552,0.931060386,0.117964534,0.128940157,0.127271003,0.128405062,0.105072464,0.551038118,0.681435588,0.340597833,0.650173161,0.727272727,0.753694581,0.813852814,0.585094478,0.32321796,0.395805763,0.461730151,0.477189141,0.350952558,0.501493264,0.418132257,0.423988609,0.352783794,0.122205122,0.135322345,0.119650436,0.110469187,0.144604585,0.142606464,0.11062843,0.087684244,0.113181131,0.110917816,0.079238466,0.056028334,0,0,0.257032483,0.026748633,0.227233945,0,0.082846154,0,0,0.107133091,0.170364085,0,0.362089025,0,0.1,0.059049931,0.145936712,0.103168664,0.059314929,0,0,0.156057057,0.10258644,0.081369097,0.057066586,0.101767672,0,0.06006842,0.540816732,0.555555556,0.076923077,0,0,0,0.090909091,0,0.090909091,0.224620043,0.136236458,0,0,0,0.25,0,0,0.166666667,0,0,0,0,0,0,0,0.001664524,0.056551952,0.014764402,0.021696442,4.34E-05,0.080091157,0.29,0.636066216
0.770290801,0.770290801,0.79215407,0.748060712,0.4860307,0.154559618,0.142674937,0.154588953,0.184782609,0.523953454,0.474460902,0.525539098,0.647998588,0.553719008,0.686520376,0.804407713,0.024023598,0.016912743,0.624195887,0.154939093,0.750162422,0.267455075,0.167578219,0.225960015,0.520204268,0.140272269,0.233422346,0.211863692,0.256573801,0.240120092,0.452385366,0.316517593,0.529228237,0.338699075,0.172804168,0.185101432,0.081186826,0,0,0,0.131638496,0.118089373,0.515507455,0.060532686,0.031044302,0,0.443188981,0.23416538,0.125255272,0,0,0,0,0.068476789,0.477743627,0.23416538,0.096154417,0,0,0.048872521,0.119429126,0.325476388,0.045934449,0.130639305,0,0.022068545,0.353897244,0.75,0.076923077,0.5,0.428571429,0,0,0.333333333,0.272727273,0.380647643,0.21767438,0,0.25,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0.005257651,0.178783213,0.916684711,0.009988163,0.005130722,0.404283029,0.34,0.240603248
0.811586131,0.811586131,0.746213778,0.555712519,0.408558211,0.19600416,0.187802869,0.195473715,0.202898551,0.55095548,0.490431769,0.509568231,0.688229487,0.636363636,0.74137931,0.848484848,0.192922555,0.049562479,0.643208306,0.180810811,0.723013821,0.230170945,0.233030827,0.230744276,0.552954643,0.15313578,0.239386093,0.242979202,0.253590655,0.25448466,0.396984858,0.337878141,0.437040101,0.331280297,0.201896093,0.219016897,0.075309665,0,0.140684085,0,0.131638496,0.150554903,0.37429161,0.058272648,0.151709292,0,0.115714052,0.219330175,0.191709773,0,0,0,0.145649476,0.144240923,0.124736068,0.201933254,0.076766763,0,0,0.204689936,0.059714563,0.325476388,0,0.189630522,0.200693098,0.183561987,0.346074622,0.65,0,0.333333333,0.285714286,0.090909091,0.090909091,0.166666667,0.272727273,0.373681424,0.242924173,0,0.25,0.25,0,0,0,0.166666667,0.090909091,0.25,0,0,0,0,0,0.513439968,0.280645753,0.939701879,0.298514521,0.405286411,0.868888795,0.4,0.19616435
0.770454691,0.770454691,0.791476476,0.750925388,0.571402537,0.154559618,0.142674937,0.154588953,0.184782609,0.523953454,0.474460902,0.525539098,0.647998588,0.603305785,0.724137931,0.837465565,0.024023603,0.014460032,0.626589795,0.150133228,0.753791919,0.26528701,0.167562491,0.225877654,0.520960436,0.140071753,0.229499651,0.208217843,0.254920289,0.2455448,0.468168525,0.327560495,0.540310147,0.345791351,0.172804168,0.185101432,0.081186826,0,0,0,0.131638496,0.146780931,0.393595043,0.060532686,0.031044302,0,0.54906942,0.211845943,0.133545499,0,0,0,0,0.068476789,0.591879372,0.211845943,0.102518556,0,0,0.097745041,0.119429126,0.406845485,0.045934449,0.158527558,0,0.022068545,0.353927198,0.75,0.076923077,0.5,0.428571429,0,0,0.333333333,0.272727273,0.374686644,0.217489558,0,0.25,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0.002116307,0.099468926,0.520250255,0.012577606,0.001473515,0.088750889,0.36,0.198065872
0.770006898,0.770006898,0.790685025,0.750925388,0.571402537,0.154559618,0.142674937,0.154588953,0.184782609,0.523969744,0.474461069,0.525538931,0.648022858,0.628099174,0.742946708,0.85399449,0.024023594,0.015743589,0.62513344,0.152418196,0.752598062,0.26728417,0.167618328,0.226320935,0.520960436,0.138077296,0.229499651,0.208217843,0.254083091,0.247947299,0.471073408,0.329592937,0.533115582,0.341186924,0.172804168,0.185101432,0.081186826,0,0,0,0.131638496,0.146780931,0.42758757,0.060532686,0.031044302,0,0.54906942,0.211845943,0.133545499,0,0,0,0,0.068476789,0.591879372,0.211845943,0.102518556,0,0,0.151156582,0.059714563,0.325476388,0.045934449,0.158527558,0,0.022068545,0.353845356,0.75,0.076923077,0.5,0.428571429,0,0,0.333333333,0.272727273,0.374686644,0.217489558,0,0.25,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0.001828317,0.083583626,0.599712688,0.013113172,0.000654505,0.044180197,0.36,0.242085965
0.769854097,0.769854097,0.791409303,0.788651844,0.448938109,0.154559618,0.142674937,0.154588953,0.184782609,0.52396996,0.474461071,0.525538929,0.64802318,0.578512397,0.705329154,0.820936639,0.024023583,0.027936517,0.613731911,0.175138637,0.742278289,0.283701074,0.167814667,0.22747868,0.520204268,0.145001412,0.233422346,0.211863692,0.258484451,0.23875855,0.441507158,0.308906507,0.506626198,0.324234069,0.172804168,0.185101432,0.081186826,0,0,0,0.131638496,0.171586639,0.428580129,0.060532686,0.031044302,0,0.443188981,0.23416538,0.125255272,0,0,0,0,0.068476789,0.477743627,0.23416538,0.096154417,0,0,0.048872521,0.119429126,0.406845485,0.137803346,0.130639305,0,0.022068545,0.353817429,0.75,0.076923077,0.5,0.428571429,0,0,0.166666667,0.272727273,0.380647643,0.21767438,0,0.25,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0.011631843,0.259739841,0.918385124,0.030417356,0.004454622,0.619533706,0.36,0.239415504
