SMILES,logBCF
OC(=O)C(F)(F)C(F)(F)C(F)(F)F,0.340429722
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.544530663
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.084468381
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.935378257
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.667976513
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.963265528
OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,3.4764175
OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.839174471
OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)F,1.008493468
FC(F)(C(OC(C(OC(C(O)=O)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F)F,1.764763655
OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,1.845312035
OC(=O)C(F)(F)OC(F)(F)F,0.337862637
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)F,0.624719403
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,0.947133056
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,1.333178276
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,2.11859652
FC(OC(F)(C(OC(C(O)=O)(C(F)(F)F)F)(F)F)F)(F)F,0.724320406
O=C(O)C(F)(OC(F)(F)C(F)(F)OC(F)(F)OC(F)F)C(F)(F)F,1.285284873
