SMILES,Assay Response
CCCCCCCCCCCCCCCC(=O)O,1
COC1=CC2=C(C=C1)C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O,1
CC1=CN(C2=CC=CC=C12)S(=O)(=O)C3=CC=CC=C3C(=O)O,1
COC1=CC=CC2=C1N(C=C2)S(=O)(=O)C3=C(SC=C3)C(=O)O,1
C1=CC2=C(C(=C1)F)N(C=C2)S(=O)(=O)C3=C(SC=C3)C(=O)O,1
C1=CC2=C(C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O)C=C1Br,1
CC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3C(=O)O,0
C1=CC2=C(C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O)C=C1F,1
C1=CC(=CC2=C1C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O)F,1
CC1=CC2=C(C=C1)N(C=C2)S(=O)(=O)C3=CC=CC=C3C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)S(=O)(=O)N2C=CC3=C2C=CC=C3F,1
C1=CC=C(C(=C1)C(=O)O)S(=O)(=O)N2C=CC3=C2C=CC(=C3)Br,0
COC1=CC=CC2=C1C=CN2S(=O)(=O)C3=CC=CC=C3C(=O)O,0
COC1=CC2=C(C=C1)C=CN2S(=O)(=O)C3=CC=CC=C3C(=O)O,1
C1=CC=C2C(=C1)C3=CC=CC=C3N2CC(=O)O,0
C1=CC=C2C(=C1)C3=CC=CC=C3N2CCC(=O)O,1
C1=CC=C2C(=C1)C3=CC=CC=C3N2S(=O)(=O)C4=CC=CC=C4C(=O)O,1
COC1=CC2=C(C=C1)N(C=C2)S(=O)(=O)C3=C(SC=C3)C(=O)O,1
CC1=CC2=C(C=C1)N(C=C2)S(=O)(=O)C3=C(SC=C3)C(=O)O,1
CC1=CC2=C(C=C1)C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O,1
C1=CC=C2C(=C1)C3=CC=CC=C3N2CCCC(=O)O,1
C1=CC=C2C(=C1)C3=CC=CC=C3N2CCCCC(=O)O,1
CC1=CN(C2=CC=CC=C12)S(=O)(=O)C3=C(SC=C3)C(=O)O,1
CC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=C(SC=C3)C(=O)O,1
COC1=CC=CC2=C1C=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O,0
C1=CC=C2C(=C1)C3=CC=CC=C3N2S(=O)(=O)C4=C(SC=C4)C(=O)O,1
C1=CC=C2C(=C1)C(=CN2S(=O)(=O)C3=CC=CC=C3C(=O)O)CC(=O)N,0
C1=CC=C2C(=C1)C(=CN2S(=O)(=O)C3=C(SC=C3)C(=O)O)CC(=O)N,0
