SMILES,Assay Response
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,1
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,0
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0
CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,0
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,1
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,0
C1=CC=C2C(=C1)C=CC(=O)O2,1
CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,1
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,1
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,0
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,1
CC1=C(N=CN1)CSCCNC(=NC)NC#N,1
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,0
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,0
CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,0
CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,1
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,0
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,0
C1=CC(=CC=C1C(=O)NCC(=O)O)N,0
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,0
C1=CN=CC=C1C(=O)NN,0
C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,0
CC[N+](CC)(CC)CC,1
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,0
COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0
CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,0
CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,0
C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,0
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,1
CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,1
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,0
CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,0
CNC(=O)C1=CN=CC=C1,0
