SMILES,Predicted logBCF
FCCOC(F)(F)F,1.227053079
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)=O,1.601635431
NC1=C(F)C(Cl)=C(OC(F)(F)C(F)C(F)(F)F)C(Cl)=C1,2.720244745
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,1.666457449
OC(=O)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)Cl)C(F)(F)F,1.648691157
CCCCCCCC\C=C\CCCCCCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,2.269201701
FC(F)(F)C=C(Cl)C(F)(F)Cl,2.110892101
OC(=O)\C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.082915589
FCCC(F)Cl,1.320005808
FCC(F)(Cl)C(F)F,1.699670937
C[N+](C)(C)CCCNS(=O)(=O)C1=CC=C(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)F)C=C1,1.951545804
[O-][NH+](C(F)(F)F)C(F)(F)C(F)(F)[NH+]([O-])C(F)(F)F,0.929071516
FC1(F)C(F)(F)[C@@]2(F)[C@](F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,2.759336645
F\C(\C(\F)=C(\F)C(F)(F)F)=C(/F)C(F)(F)F,2.397609148
FC(F)(F)C(C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F,2.883343216
OS(=O)(=O)C(F)(F)C(F)=C(F)C(F)(F)F,0.9676593
OC(=O)C(F)(F)OC(F)(F)C(F)=C(F)C(F)(F)F,1.337852753
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F,1.611849001
C[N+](C)(CCO)CC(O)C[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.355605567
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,1.676097952
[O-][N+](=O)C1=CC(=C(OC2=CC=C(C=NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C2)C=C1)[N+]([O-])=O,2.279918711
C[N+](C)(CCO)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.476582625
F[C@H]1[C@@H](F)C(F)(F)C(F)(F)C1(F)F,2.335202046
CCOC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.841474261
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)C1=CC=CC=C1,2.054092848
COCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.918955017
CC1(CC(F)(F)C1(F)F)C1=NN=C(N)S1,2.009722753
FC(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.630135061
FC(F)(F)C(F)(F)C(F)(F)COC1=CC=CC=C1Br,2.481415541
FC(F)C(F)(F)COC1=CC=C(NCC(F)(F)F)C=C1,2.112354437
CC(N)C(F)(F)C(F)(F)F,1.122777762
FC(F)=C(Cl)C(F)(Cl)C(F)(F)F,2.172111286
CC1=CC=C(C=C1N)C(F)(F)C(F)(F)F,1.683679086
FC(F)(F)C(F)(F)OC1=CC(OC(F)(F)C(F)(F)F)=CC=C1,2.835150355
CC1=CC(=C(C)S1)C1=C(F)C(F)(F)C(F)(F)C1(F)F,2.490215731
CCCOC(=O)OCC(F)(F)C(F)F,1.735913854
[H][C@@]12[C@@H]3C[C@@H](SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[C@@H](C3)[C@]1([H])C(=O)OC2=O,1.872975378
CCN.OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.431144827
OCC(CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.26285217
CON(C)C(=O)CCC(F)(F)C(F)(F)F,1.252858316
FC(OC(F)(F)C(F)(F)C(F)(F)F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,2.402529731
NNC1=CC=C(OCC(F)(F)C(F)F)C=C1,1.985395463
CC(C)OC(F)(F)C(F)Cl,1.328372353
CCOC1=C(C(C)=O)C(F)(F)C1(F)F,1.799472434
CCP(=O)(OCC(C)C)C(F)(F)C(F)(F)C(F)(F)F,1.804120689
OS(=O)(=O)SCCNC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.901689301
FC(F)=C(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O)C(F)(F)F,1.981803208
FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,2.257955036
OP(O)(=O)OCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.530749634
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,2.598048928
OC(=O)CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.265464853
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS([O-])(=O)=O,1.083979916
OC(=O)\C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.117102739
OCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.721530595
OC(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.373449597
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,1.873375957
FC(F)C(F)=C(F)C(F)(F)C(F)(F)F,2.153220957
CC(F)(F)C(F)(F)C(F)(F)S(O)(=O)=O,0.928936234
FC(F)(F)C=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,2.716110165
FC(F)(F)C1(F)OC(F)(F)C(F)(OC1(F)F)C(F)(F)F,2.081488773
NC1=C(N)C=C(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(Br)=C1,2.172558429
CC1=C(C=C(S1)C1=CC=CC=C1)C1=C(C2=C(C)SC(=C2)C2=CC=CC=C2)C(F)(F)C(F)(F)C1(F)F,2.836798323
[O-][N+](=O)C1=CC=CC(C(=O)NC2=C(C=C(C=C2Br)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)=C1F,2.334309196
